epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8503,4.02905,6.93674,3.58663,0,0,0,0,5.53735,5.13155,4.56272,0.000368424,0.000368424,0.000368424
2,121.191,2.79554,4.04792,2.40646,0.17889,0.12257,0.0544,0.01794,2.6526,3.47696,2.50271,0.000714379,0.000714379,0.000714379
3,178.686,2.58049,3.40348,2.1904,0.37952,0.14921,0.09441,0.03462,2.3476,3.16553,2.20819,0.00103589,0.00103589,0.00103589
4,236.199,2.49373,3.26202,2.12428,0.37693,0.19181,0.10218,0.03524,2.36166,3.36812,2.22515,0.00100101,0.00100101,0.00100101
5,293.848,2.39897,3.089,2.02676,0.17533,0.12001,0.09216,0.03066,2.43445,3.09815,2.21103,0.000964348,0.000964348,0.000964348
6,350.571,2.35185,2.97711,1.99046,0.41025,0.23213,0.17732,0.06406,2.24758,2.75148,2.08807,0.000927685,0.000927685,0.000927685
7,408.067,2.34034,2.88982,1.95816,0.47412,0.16686,0.17535,0.05331,2.38146,2.9939,2.18415,0.000891022,0.000891022,0.000891022
8,465.68,2.29011,2.83732,1.91087,0.43898,0.31637,0.23566,0.09407,2.08754,2.50129,1.98007,0.000854359,0.000854359,0.000854359
9,522.842,2.25014,2.74732,1.89413,0.4287,0.23223,0.2379,0.08729,2.28543,2.80874,2.09951,0.000817696,0.000817696,0.000817696
10,580.678,2.24752,2.69587,1.86972,0.35748,0.30673,0.29078,0.11722,2.07476,2.36547,1.91753,0.000781033,0.000781033,0.000781033
11,637.97,2.21369,2.58122,1.84022,0.40261,0.37951,0.33835,0.13662,2.04291,2.22365,1.90883,0.00074437,0.00074437,0.00074437
12,695.326,2.18838,2.57117,1.82738,0.48413,0.33328,0.29883,0.12055,2.12206,2.42554,1.96541,0.000707707,0.000707707,0.000707707
13,753.586,2.17363,2.49741,1.80024,0.41666,0.35212,0.37775,0.15641,1.99945,2.14823,1.85844,0.000671044,0.000671044,0.000671044
14,811.246,2.17934,2.47971,1.79881,0.45664,0.35585,0.33984,0.12832,2.12032,2.31,1.94402,0.000634381,0.000634381,0.000634381
15,868.237,2.15492,2.4334,1.76713,0.45087,0.39946,0.40387,0.1562,2.05981,2.10112,1.8558,0.000597718,0.000597718,0.000597718
16,925.781,2.12811,2.37368,1.74809,0.38254,0.36011,0.32902,0.12751,2.13344,2.26409,1.95409,0.000561055,0.000561055,0.000561055
17,984.122,2.11324,2.32282,1.74217,0.45392,0.4209,0.44508,0.18384,1.98361,1.95713,1.80897,0.000524392,0.000524392,0.000524392
18,1041.44,2.10721,2.32559,1.73261,0.49483,0.41879,0.44158,0.17835,2.00418,2.03126,1.81516,0.000487729,0.000487729,0.000487729
19,1099.49,2.09418,2.28435,1.71107,0.58366,0.40933,0.43406,0.17348,2.02343,2.02752,1.80001,0.000451066,0.000451066,0.000451066
20,1156.96,2.09086,2.26414,1.71332,0.51869,0.42402,0.42926,0.17174,2.02794,2.00542,1.85309,0.000414403,0.000414403,0.000414403
21,1215.88,1.98533,1.97702,1.80239,0.56168,0.48796,0.50699,0.21319,1.94473,1.82534,1.77252,0.00037774,0.00037774,0.00037774
22,1273.17,1.98429,1.92487,1.78708,0.5553,0.49656,0.52338,0.22539,1.91257,1.80322,1.74732,0.000341077,0.000341077,0.000341077
23,1333.21,1.95875,1.88908,1.77516,0.6199,0.47716,0.53595,0.22727,1.93837,1.77404,1.74179,0.000304414,0.000304414,0.000304414
24,1393.33,1.95476,1.8557,1.7719,0.56605,0.50837,0.51903,0.21422,1.94387,1.79,1.77703,0.000267751,0.000267751,0.000267751
25,1453.03,1.94509,1.80312,1.76466,0.62342,0.51186,0.56558,0.24025,1.91704,1.68406,1.73875,0.000231088,0.000231088,0.000231088
26,1510.37,1.93422,1.79682,1.75649,0.60488,0.53887,0.55998,0.24119,1.91196,1.67789,1.74098,0.000194425,0.000194425,0.000194425
27,1568.74,1.92631,1.74934,1.74059,0.60482,0.53089,0.56355,0.24149,1.9089,1.66442,1.73708,0.000157762,0.000157762,0.000157762
28,1626.54,1.92243,1.74174,1.73154,0.62787,0.53888,0.585,0.25589,1.89214,1.64111,1.71075,0.000121099,0.000121099,0.000121099
29,1684.56,1.90081,1.71697,1.72327,0.60989,0.55013,0.58444,0.25949,1.88923,1.62415,1.71337,8.4436e-05,8.4436e-05,8.4436e-05
30,1743.55,1.89367,1.69654,1.72053,0.63845,0.55617,0.59732,0.26386,1.88509,1.60837,1.71112,4.7773e-05,4.7773e-05,4.7773e-05
